,question,answer,category,table_id
0,How old was Jenson Button when he achieved his best finish in the 2018 Super GT GT500 Championship?,38,f1,0
1,What was Jenson Button's age when he won the Super GT GT500 Championship?,38,f1,0
2,How many years did it take Jenson Button to win his second championship?,9,f1,0
3,Where did Jenson Button compete 5 years before his Super GT GT500 Championship debut?,Brazil,f1,0
4,For how many years did Jenson Button's professional career last?,17,f1,0
5,How old was Jenson Button when he began his professional career?,20,f1,0
6,Which country did Jenson Button participate in the Formula One World Championship starting in 2000?,England,f1,0
7,What year did Jenson Button first participate in the Australian Grand Prix?,2000,f1,0
8,How many years ago did Jenson Button last win the Brazilian Grand Prix in the Formula One World Championship?,10,f1,0
9,What time is it in Florida if it's 8:40 in the Atlantic Time Zone?,7:40,time zone,33
10,Which time zone is shown in the table?,Atlantic,time zone,33
11,What time is it in the Atlantic Time Zone if it's 10:00 in California?,2:00,time zone,33
12,What is the time difference in hours between the Atlantic Time Zone and Florida?,1,time zone,33
13,"What was the current time on June 28, 2022, according to AST?",8:40 a.m.,time zone,33
14,What is the time difference in hours between AST and ADT?,1,time zone,33
15,How many UTC offsets are shown?,2,time zone,34
16,What time zone is specified in the table?,Mountain,time zone,34
17,What is the time difference in hours between MST and MDT?,1,time zone,34
18,What is the time difference in hours between Florida and Colorado?,2,time zone,34
19,How many different time zones are there in the US?,6,time zone,34
20,"If it's 4 p.m. in Los Angeles, California, what time is it in Chicago, Illinois?",6 p.m.,time zone,34
21,What is the time difference in hours between NST and NDT?,1,time zone,35
22,How many hours is NDT behind Coordinated Universal Time (UTC)?,2.5,time zone,35
23,What is the current time in the Newfoundland Time Zone?,11:26 p.m.,time zone,35
24,For which senior year team did Pau Quemada start playing in the year he won the bronze medal at the World Cup?,Leuven,hockey,41
25,"Where did the 2009 World Cup, where Pau Quemada won a bronze medal, take place?",Mönchengladbach,hockey,41
26,How many years has Pau Quemada been playing in his senior career?,17,hockey,41
27,What is the most recent team that Pau Quemada has been associated with?,Leuven,hockey,41
28,"Since 2005, which team has Pau Quemada been associated with the longest in the senior division?",Leuven,hockey,41
29,How many years did Pau Quemada play in the senior division?,16,hockey,41
30,How many years separate Pau Quemada's start at Leuven from the beginning of his current team membership?,15,hockey,41
31,How much longer in years did Pau Quemada play for Club Egara than for Laren?,4,hockey,41
32,How many years did Pau Quemada play for Real Club de Polo?,2,hockey,41
33,How many years are there between Rubens Barrichello's first and last win in Formula One?,9,f1,51
34,How many years are there between Barrichello's best finish in his Stock Car Brasil career and his best finish in his IndyCar Series career?,2,f1,51
35,How old was Barrichello when his Formula One career began?,21,f1,51
36,Which race did Barrichello win 7 years after his Formula One career began?,German Grand Prix,f1,51
37,What year did Rubens Barrichello have his best finish in his Stock Car Brasil career?,2014,f1,51
38,How old was Rubens Barrichello when he won his last Grand Prix?,37,f1,51
39,How many years was Rubens Barrichello active in his career?,18,f1,51
40,How many years did it take for Rubens Barrichello to get his first win in Formula One?,7,f1,51
41,How many years are there between Barrichello's last win and his last entry into a Grand Prix for Formula One?,2,f1,51
42,How long in years did Kapil Dev play ODI cricket?,16,cricket,52
43,How much longer did Kapil Dev play for Haryana than for Worcestershire?,6,cricket,52
44,How many days were between Dev's Test debut and his ODI debut?,15,cricket,52
45,How many years before Kapil Dev's last ODI did he start playing for Worcestershire?,10,cricket,52
46,What was the first team Kapil Dev was associated with?,Haryana,cricket,52
47,With which team was Kapil Dev associated for the longest amount of time?,Haryana,cricket,52
48,What domestic team was Kapil Dev associated with most recently?,Haryana,cricket,52
49,For which domestic team was Kapil Dev playing in 1982?,Northamptonshire,cricket,52
50,Who was the captain of the Indian cricket test team in 1980?,Kapil Dev,cricket,52
51,How many times did Madan Lal take 5 wickets in an innings in Test and ODI matches?,4,cricket,53
52,How many more years did Madan Lal spend at Delhi than in Punjab?,14,cricket,53
53,What domestic team was Madan Lal associated with when he made his Test debut?,Delhi,cricket,53
54,What was the first team associated with Madan Lal?,Punjab,cricket,53
55,How many more years did Lal play for Delhi than for Punjab?,4,cricket,53
56,How many years are between Madan Lal's last Test and his ODI debut?,12,cricket,53
57,What domestic team did Madan Lal play for during his Test debut?,Punjab,cricket,53
58,What team was Madan Lal associated with most recently?,Delhi,cricket,53
59,How many days after the anniversary of Madan Lal's first Test did he play his last Test?,13,cricket,53
60,"In addition to KwaZulu-Natal, which professional team did Shaun Pollock represent in 2000?",Warwickshire,cricket,54
61,How old was Shaun Pollock when he made his ODI debut in 1996?,23,cricket,54
62,What was the second team that Shaun Pollock played for?,Warwickshire,cricket,54
63,What was the last team that Shaun Pollock played for?,Durham,cricket,54
64,Over how many years did Shaun Pollock play for the Dolphins?,2,cricket,54
65,What team did Pollock play for during the year of his T20I debut?,Dolphins,cricket,54
66,How much longer in years did Pollock play for KwaZulu-Natal than for Warwickshire?,5,cricket,54
67,How old was Pollock during his Test debut?,22,cricket,54
68,How many years ago did Shaun Pollock play his last T20I?,14,cricket,54
69,How many months were between Waqar Younis's last Test and his last ODI?,2,cricket,55
70,Which domestic team did Waqar Younis play for in 2002?,National Bank of Pakistan,cricket,55
71,How many years ago did Waqar Younis play his last ODI?,19,cricket,55
72,How many total wickets did Waqar Younis take in his career from 1987 to 2003?,2420,cricket,55
73,How many years after Younis played for Allied Bank Limited was the picture taken?,11,cricket,55
74,How many domestic teams did Waqar Younis play for in 1999?,2,cricket,55
75,"One year after beginning his domestic team career, where did Waqar Younis play domestically?",Multan,cricket,55
76,What was the last team Waqar Younis played for before the turn of the millennium?,REDCO Pakistan Limited,cricket,55
77,How many more years did Younis play for Surrey than for Glamorgan?,2,cricket,55
78,How old was Sanath Jayasuriya when he made his Test debut in 1991?,22,cricket,56
79,How many total matches did Sanath Jayasuriya play in all formats?,931,cricket,56
80,How long in years did Sanath Jayasuriya play for his national team?,22,cricket,56
81,What was the third team that Sanath Jayasuriya played for?,Lancashire,cricket,56
82,What was the first team that Sanath Jayasuriya played for?,Bloomfield,cricket,56
83,For how many years did Sanath Jayasuriya play for Bloomfield?,17,cricket,56
84,How many years after his first year with Bloomfield did Jayasuriya play for the Khulna Royal Bengals?,18,cricket,56
85,What team did Jayasuriya play for during the year of his last Test?,Lancashire,cricket,56
86,How old was Jayasuriya when he started playing for Bloomfield?,25,cricket,56
87,How many more years did Richards play for the Leeward Islands than for Glamorgan?,17,cricket,57
88,Which domestic team did Viv Richards play for in 1980?,Somerset,cricket,57
89,How many years did Viv Richards play for the West Indies?,17,cricket,57
90,How many years ago did Viv Richards make his ODI debut?,47,cricket,57
91,When did Viv Richards start playing domestically?,1971,cricket,57
92,What was the last team that Viv Richards was associated with domestically?,Glamorgan,cricket,57
93,For how many years did Viv Richards play domestically?,22,cricket,57
94,How many years passed between Richard's ODI debut and his last year playing for Somerset?,11,cricket,57
95,What domestic team was Richards playing for during his Test debut?,Combined Islands,cricket,57
96,How many more years did Alejandro Valverde spend with Illes Balears–Banesto than with Kelme–Costa Blanca?,3,cycling,99
97,How many individual stages did Alejandro Valverde win in the Tour de France during the 2010s?,1,cycling,99
98,In which year did Alejandro Valverde achieve his first Tour de France victory?,2005,cycling,99
99,How many bronze medals did Alejandro Valverde win from 2000 to 2009?,1,cycling,99
100,How many more years was Valverde with the Puente Tocinos team than with Illes Balears–Banesto?,4,cycling,99
101,For which team did Valverde ride the year he won silver at the Hamilton World Championships?,Kelme–Costa Blanca,cycling,99
102,How many major wins did Valverde have in 2008?,6,cycling,99
103,What professional team did Alejandro Valverde represent before joining Illes Balears–Banesto?,Kelme–Costa Blanca,cycling,99
104,"After winning a bronze medal at the 2001 Mediterranean Games, in which year did Alejandro Valverde next win a medal at the World Championships?",2003,cycling,99
105,How many times did Felice Gimondi participate in the National Road Race Championships?,2,cycling,100
106,How old was Felice Gimondi when he won a silver medal at the UCI Road World Championships?,29,cycling,100
107,Which professional team was Felice Gimondi with the longest?,Salvarani,cycling,100
108,What was the second professional team that Felice Gimondi joined?,Bianchi–Campagnolo,cycling,100
109,What year did Felice Gimondi win his first medal?,1970,cycling,100
110,In what city did Felice Gimondi win a medal the same year as his second appearance at the Giro di Lombardia?,Barcelona,cycling,100
111,How many gold medals did Felice Gimondi win at the 1973 UCI Road World Championships?,1,cycling,100
112,For which professional team did Felice Gimondi ride during the Tour de Romandie?,Salvarani,cycling,100
113,With which team did Felice Gimondi ride in 1970?,Salvarani,cycling,100
114,How old was Moser when he first rode for Famcucine–Campagnolo?,30,cycling,101
115,What international competition did Moser win gold the same year he won the World Road Race Championships?,San Christóbal World Championships,cycling,101
116,How old was Francesco Moser when he rode for Sanson?,25,cycling,101
117,Where did Francesco Moser win a gold medal in 1976?,Monteroni di Lecce,cycling,101
118,What medal did Monteroni di Lecce win at the 1977 San Christóbal World Championships?,Gold,cycling,101
119,With which professional team was Francesco Moser associated in 1984?,Gis Gelati,cycling,101
120,How many gold medals has Hugo Calderano won in singles events since 1976?,2,cycling,101
121,How many major wins did Moser have while he rode for Gis Gelati?,5,cycling,101
122,How many times did Francesco Moser participate in the National Road Race Championships from 1973?,3,cycling,101
123,What was the last stage race Gino Bartali won?,Tour de Romandie,cycling,102
124,How old was Gino Bartali when he joined his first professional team?,21,cycling,102
125,What professional team did Gino Bartali belong to during the Tour de Romandie?,Bartali–Gardiol,cycling,102
126,How many one-day races and Classics did Bartali ride in 1939?,4,cycling,102
127,Which was the last team Gino Bartali rode for in 1954?,Bartali–Brooklin,cycling,102
128,What year did Gino Bartali first join the amateur team?,1931,cycling,102
129,Over how many years was Gino Bartali a part of the amateur team?,4,cycling,102
130,How old was Gino Bartali when he rode for the Fréjus team?,21,cycling,102
131,How many total years did Gino Bartali ride for professional teams?,19,cycling,102
132,With which team did Joop Zoetemelk play professionally the longest?,Gan–Mercier–Hutchinson,cycling,103
133,What professional team did Zoetemelk ride for in the year the picture was taken?,Flandria–Mars,cycling,103
134,How many years before Zoetemelk first won the Paris–Nice stage race did he win gold at the Olympics?,6,cycling,103
135,What year did Joop Zoetemelk win gold at the World Championships?,1985,cycling,103
136,What was the first year that Joop Zoetemelk played professionally?,1970,cycling,103
137,How many major wins did Zoetemelk have in 1979?,6,cycling,103
138,What was the first team with which Joop Zoetemelk played professionally?,Flandria–Mars,cycling,103
139,How many years separated the two gold medals that Joop Zoetemelk won in his career?,17,cycling,103
140,What medal did Joop Zoetemelk win at the 1968 Mexico City Olympics?,Gold,cycling,103
141,In which year did Poulidor win a silver medal at the World Championships?,1974,cycling,104
142,In what year did Poulidor join a professional team?,1960,cycling,104
143,In what year was Raymond Poulidor's best finish in a championship?,1974,cycling,104
144,Which one-day race did Poulidor participate in the same year as the Grand prix des Nations?,La Fleche Wallonne,cycling,104
145,In what year did Raymond Poulidor first receive a medal in a championship?,1961,cycling,104
146,How many years before his death did Raymond Poulidor win the silver medal for France?,45,cycling,104
147,Which major win had the most stages?,Tour de France,cycling,104
148,How many gold medals did Raymond Poulidor win for France?,0,cycling,104
149,For how many years did Raymond Poulidor belong to a professional team?,17,cycling,104
150,How old was Sean Kelly when he joined his first professional team?,21,cycling,105
151,How many stage races did Kelly win in 1983?,3,cycling,105
152,What professional team was Sean Kelly a part of when he won a bronze medal at the Chambéry World Championships?,PDM–Concorde,cycling,105
153,What was Sean Kelly's most recent professional team?,Catavana,cycling,105
154,How long in years did Sean Kelly compete in professional teams?,17,cycling,105
155,In what year did Sean Kelly last win a medal at the World Championships?,1989,cycling,105
156,How many years separate Sean Kelly's first and last World Championship appearances?,7,cycling,105
157,What was the first professional team that Sean Kelly played for?,Flandria–Velda–Latina Assicurazioni,cycling,105
158,In what year did Sean Kelly attend his first World Championships?,1982,cycling,105
159,In what year did Ali Farag win his first team gold at the World Team Championships?,2017,squash,106
160,How old was Ali Farag when he turned professional?,17,squash,106
161,How many years after turning pro did Farag achieve his highest ranking?,13,squash,106
162,At what age did Farag turn professional?,17,squash,106
163,How many years are there between Farag winning gold at the Cairo World Championships and at the Marseille World Team Championships?,4,squash,106
164,In which city did Ali Farag win the most medals in the 21st century?,Chicago,squash,106
165,How old was Ali Farag the year he turned pro?,17,squash,106
166,How old was Ali Farag the year he reached the number one ranking?,30,squash,106
167,How old was Ali Farag when he won his first team gold at the World Team Championships?,25,squash,106
168,"Did Joel Makin win his gold medal in Washington, D.C., within ten years of turning pro?",yes,squash,107
169,What year did Joel Makin reach his highest ranking?,2021,squash,107
170,What year did Joel Makin turn professional?,2014,squash,107
171,How old was Joel Makin when he won a bronze medal?,25,squash,107
172,"Was Joel Makin in his twenties when he won his bronze medal in Washington, D.C.?",yes,squash,107
173,Was Joel Makin a teenager when he attained his highest ranking?,no,squash,107
174,How many years are between Makin's current rank and when he won bronze at the World Team Championships?,3,squash,107
175,How many months after his 27th birthday did Makin achieve his highest rank?,2,squash,107
176,How old was Joel Makin when he won a bronze medal at the World Team Championships?,25,squash,107
177,At what age did Mohamed El Shorbagy win the World Team Championship?,20,squash,108
178,How many years after going pro did Mohamed El Shorbagy become ranked number one in the world?,8,squash,108
179,How many medals did Mohamed El Shorbagy win in World Championships (singles) from 2013?,8,squash,108
180,What was Mohamed El Shorbagy's rank in 2022?,3,squash,108
181,How many years ago was Mohamed El Shorbagy ranked as World No. 1?,8,squash,108
182,How many titles has Mohamed El Shorbagy won?,43,squash,108
183,Where was the World Championship held when Mohamed El Shorbagy was 25?,Cairo,squash,108
184,At what age did Mohamed El Shorbagy turn pro?,15,squash,108
185,How many coaches has Mohamed El Shorbagy been trained by?,5,squash,108
186,How many medals did Coll win in international competition the year the picture was taken?,2,squash,109
187,How long in years has Paul Coll been active in his career?,12,squash,109
188,What year did Paul Coll win a silver medal at the Commonwealth Games?,2018,squash,109
189,In what year did Paul Coll receive his first silver medal?,2018,squash,109
190,How many years has it been since Paul Coll last received a bronze medal in any competition?,4,squash,109
191,In what year did Paul Coll first win a gold medal in the World Doubles Championships?,2016,squash,109
192,In what year did Paul Coll win his first bronze medal?,2016,squash,109
193,How many World Doubles Championship gold medals had Paul Coll won before achieving his highest ranking?,2,squash,109
194,How many years after turning pro did Paul Coll achieve his highest ranking?,12,squash,109
195,How many years were between Coll winning gold at the Darwin World Doubles Championships and winning bronze at the Commonwealth Games?,2,squash,109
196,What year did Paul Coll achieve his highest ranking?,2022,squash,109
197,How many years before achieving his highest ranking did Paul Coll win gold at the Manchester World Doubles Championships?,5,squash,109
198,How old was Tarek Momen when he turned pro?,17,squash,110
199,How many gold medals did Tarek Momen win in 2015?,0,squash,110
200,How many spots did Tarek Momen fall in the ranking from February 2019 to December 2021?,1,squash,110
201,How old was Tarek Momen when he achieved his highest ranking?,31,squash,110
202,How old was Tarek Momen when he turned pro?,17,squash,110
203,In what month and year did Tarek Momen achieve his highest ranking?,February 2019,squash,110
204,How old was Tarek Momen when he reached his highest ranking in 2019?,31,squash,110
205,How many years after turning pro did Tarek Momen achieve his highest ranking?,14,squash,110
206,In how many World Team Championships did Tarek Momen participate before playing the World Open singles?,1,squash,110
207,At what age did Chiyonofuji Mitsugu retire?,36,sumo,131
208,How many years after Chiyonofuji Mitsugu's debut did he die?,46,sumo,131
209,How old was Chiyonofuji Mitsugu when he made his debut?,15,sumo,131
210,How old was Chiyonofuji Mitsugu when he retired?,36,sumo,131
211,How many years did Chiyonofuji Mitsugu compete?,21,sumo,131
212,How many years after his debut in 1970 did Chiyonofuji achieve his highest rank?,11,sumo,131
213,How many years ago did Chiyonofuji die?,6,sumo,131
214,How old was Chiyonofuji Mitsugu when he achieved his highest ranking?,26,sumo,131
215,For how many years had Chiyonofuji been a sumo wrestler since 1970?,21,sumo,131
216,How old was Futabayama Sadaji when he achieved the rank of Yokozuna?,25,sumo,134
217,In what year did Futabayama Sadaji make his debut?,1927,sumo,134
218,How many years after his retirement did Futabayama Sadaji die?,23,sumo,134
219,How old was Futabayama Sadaji when he retired?,33,sumo,134
220,How many years was Futabayama Sadaji actively involved in his sport?,18,sumo,134
221,How old was Futabayama Sadaji when he made his debut?,15,sumo,134
222,How old was Futabayama Sadaji when he retired?,33,sumo,134
223,How old was Futabayama Sadaji when he reached his highest rank?,25,sumo,134
224,How many years after his debut did Futabayama Sadaji retire?,18,sumo,134
225,Which championship did Haguroyama Masaji win more of than all others combined?,Makuuchi,sumo,137
226,At what age did Haguroyama Masaji achieve his highest rank?,26,sumo,137
227,How old was Haguroyama Masaji when he became a Yokozuna?,27,sumo,137
228,At what age did Haguroyama Masaji retire?,39,sumo,137
229,How old was Haguroyama Masaji when he debuted?,20,sumo,137
230,At what age did Haguroyama Masaji receive his highest ranking?,27,sumo,137
231,How many years was Haguroyama Masaji's sumo career?,19,sumo,137
232,How many years ago did Haguroyama Masaji start his career?,88,sumo,137
233,How many years after debuting did Haguroyama Masaji retire?,19,sumo,137
234,How old was Harumafuji Kōhei during his debut?,17,sumo,139
235,How old was Harumafuji Kōhei when he retired from sumo in 2017?,33,sumo,139
236,What year did Harumafuji Kōhei attain his highest ranking?,2012,sumo,139
237,How many years did Harumafuji Kōhei compete before retiring in 2017?,16,sumo,139
238,How old was Harumafuji Kōhei when he made his debut?,17,sumo,139
239,How many months after his 28th birthday did Harumafuji Kōhei achieve the rank of Yokozuna?,5,sumo,139
240,How many special prizes did Harumafuji Kōhei win since 2001?,10,sumo,139
241,How many years ago did Harumafuji Kōhei debut as a Sumo Wrestler?,21,sumo,139
242,How many years were between Harumafuji Kōhei's debut and his retirement?,16,sumo,139
243,How many years after achieving his highest rank did Kaiō Hiroyuki retire?,11,sumo,145
244,How many months after turning 28 did Kaiō Hiroyuki achieve Ōzeki?,2,sumo,145
245,How old was Kaiō Hiroyuki when he made his debut?,16,sumo,145
246,How many years after his debut did Kaiō Hiroyuki retire?,23,sumo,145
247,How old was Kaiō Hiroyuki when he retired?,39,sumo,145
248,How many years ago did Kaiō Hiroyuki first debut in sumo wrestling?,34,sumo,145
249,In what month and year did Kaiō Hiroyuki achieve his highest rank in sumo wrestling?,Sep-00,sumo,145
250,How old was Kaiō Hiroyuki during the year of his debut?,16,sumo,145
251,How many gold stars did Kaiō Hiroyuki have as of May 2011?,6,sumo,145
252,How old was Kitanoumi Toshimitsu when he retired?,32,sumo,148
253,What year did Kitanoumi Toshimitsu achieve his highest rank?,1974,sumo,148
254,How old was Kitanoumi Toshimitsu when he made his debut?,13,sumo,148
255,How many months before his 14th birthday did Obata make his debut?,4,sumo,148
256,How many years before his death did Obata retire?,30,sumo,148
257,How many years was Kitanoumi Toshimitsu a sumo wrestler?,18,sumo,148
258,How old was Toshimitsu Obata when he became Yokozuna?,21,sumo,148
259,How old was Kitanoumi Toshimitsu when he made his debut?,14,sumo,148
260,How many years ago did Kitanoumi Toshimitsu retire?,37,sumo,148
261,How many gold stars did Tochiazuma Daisuke have as of May 2007?,4,sumo,169
262,How old was Tochiazuma Daisuke when he retired from sumo?,30,sumo,169
263,How many years into his career did Tochiazuma Daisuke achieve his highest rank?,8,sumo,169
264,How old was Daisuke Shiga in the year of his professional debut?,18,sumo,169
265,How many years before he retired did Daisuke Shiga achieve his highest rank?,5,sumo,169
266,How many months before his 31st birthday did Daisuke Shiga retire?,6,sumo,169
267,How old was Tochiazuma Daisuke when he made his debut?,18,sumo,169
268,How many years was Tochiazuma Daisuke a sumo wrestler?,13,sumo,169
269,How many years did Tochiazuma Daisuke wrestle?,13,sumo,169
270,How old was Aminishiki Ryūji when he made his debut?,18,sumo,180
271,How many years was Aminishiki Ryūji involved in sumo before retiring?,22,sumo,180
272,In what month and year did Aminishiki Ryūji have his first official fight?,January 1997,sumo,180
273,How many years after his debut did Aminishiki Ryūji achieve the rank of Sekiwake?,10,sumo,180
274,How many months before his 41st birthday did Aminishiki Ryūji retire?,3,sumo,180
275,How old was Aminishiki Ryūji when he achieved his highest rank?,28,sumo,180
276,How many years was Aminishiki Ryūji active in his career before retiring in 2019?,22,sumo,180
277,How old was Aminishiki Ryūji during his debut?,19,sumo,180
278,How old was Aminishiki Ryūji when he retired?,41,sumo,180
279,How many years after its registering was the modern party founded?,5,political party,182
280,Was Iván Espinel born before 2010?,yes,political party,182
281,How many ideologies has the Citizen Revolution Movement adhered to since 2010?,9,political party,182
282,With what was the Citizen Revolution Movement affiliated in 2009?,PAIS Alliance,political party,182
283,What political arm has the biggest proportion of Citizen Revolution Movement representation?,The National Assembly,political party,182
284,Which nation does the Citizen Revolution Movement represent?,Ecuador,political party,182
285,How many years did it take from the founding of the party until it was formally registered?,6,political party,182
286,How many years did it take for the Citizen Revolution Movement to be registered after its founding?,6,political party,182
287,Did the Citizen Revolution Movement have fewer members in 2022 than 2009?,no,political party,182
288,How many years old is the Ba'ath Party?,75,political party,183
289,What percentage of the Council of Ministers is held by Ba'ath Party members?,90%,political party,183
290,Is membership in the Ba'ath Party increasing or decreasing?,Increasing,political party,183
291,How many years did it take for the Ba'ath Brigades to become the paramilitary wing of the Arab Socialist Ba'ath Party – Syria Region?,6,political party,183
292,How many people were involved in the founding of the Arab Socialist Ba'ath Party – Syria Region in 1947?,3,political party,183
293,How many years longer has the Arab Socialist Ba'ath Party existed than its paramilitary wing?,69,political party,183
294,What was the paramilitary wing of the Arab Socialist Ba'ath Party in 2014?,Ba'ath Brigades,political party,183
295,Did the Arab Socialist Ba'ath Party exist in 1950?,yes,political party,183
296,In how many months will the Arab Socialist Ba'ath Party celebrate its 76th anniversary?,4,political party,183
297,Could the founders of the Arab Socialist Ba'ath Party have been born within the last 70 years?,no,political party,184
298,Who did the United Sabah Party ally with in 2021?,Barisan Nasional,political party,184
299,What national affiliation did the United Sabah Party hold in 1995?,Gagasan Rakyat,political party,184
300,"If you subtract the number of United Sabah Party members in the Sabah State Legislative Assembly from the 2021 membership of the United Sabah Party, what is the resulting number?",449993,political party,184
301,How many years after Barisan Nasional was first part of the United Sabah Party did Gabungan Rakyat Sabah become regional allies of the United Sabah Party?,35,political party,184
302,What year did the United Sabah Party split from the Sabah People's United Front?,1985,political party,184
303,What is the total number of people if you add all the Chief Ministers of Malaysia to the Dewan Negara?,83,political party,184
304,"Assuming its political position has not changed since its founding, what political position did the United Sabah Party have in 2000?",Centre-right,political party,184
305,How long in years has the United Sabah Party been affilliated with Barisan Nasional?,21,political party,184
306,"What was the national affiliation of the League of Communists of Yugoslavia during the fourth year of its military wing, the Yugoslav Partisans?",People's Front,political party,185
307,How many years after its founding did the newspaper Borba start for the League of Communists of Yugoslavia?,3,political party,185
308,How many years after the last year of Cominform affiliation was the League of Communists of Yugoslavia dissolved?,42,political party,185
309,How many years after the founding of the League of Communists of Yugoslavia did its newspaper begin?,3,political party,185
310,How many years longer did the People's Front national affiliation last than the Cominform international affiliation?,8,political party,185
311,How many years after the Yugoslav Partisans ended was the League of Communists of Yugoslavia dissolved?,45,political party,185
312,What was the name of the newspaper of the League of Communists of Yugoslavia in 1940?,Borba,political party,185
313,What was the name of the military wing of the League of Communists of Yugoslavia in 1943?,Yugoslav Partisans,political party,185
314,How many years was the League of Communists of Yugoslavia active?,71,political party,185
315,"Which country won the gold on May 21, 2021?",Morocco,sports event,199
316,"Who won the Women's 63 kg at the 2021 African Judo Championships on May 21, 2021?",Sarah Harachi,sports event,199
317,How many days did the Women's 63 kg event at the 2021 African Judo Championships last?,1,sports event,199
318,How many years after the Women's 70 kg event at the 2021 European Judo Championships was Sofia the venue of the European Judo Championships?,1,sports event,200
319,What is the year difference between the Prague and Sofia Judo Championships?,2,sports event,200
320,What country was the previous European Judo Championships held in?,Czech Republic,sports event,200
321,How many days did the 2021 European Judo Championships last?,1,sports event,200
322,"What country won the silver on April 17th, 2021?",France,sports event,200
323,Where was the Women's 70 kg event held one year before the 2021 European Judo Championships?,Prague,sports event,200
324,Over how many days did the Elliot 6m event at the 2011 ISAF Sailing World Championships last?,14,sports event,201
325,How many years will Claire Leroy Elodie Bertrand Riou have to wait to try to win gold?,2,sports event,201
326,How many days before celebrating Christmas did Anna Tunnicliffe win the gold?,9,sports event,201
327,What country did the previous IBF World Championships take place?,Indonesia,sports event,202
328,Where will the next IBF World Championships take place?,Birmingham,sports event,202
329,"Which country won the gold on May 8, 1991?",China,sports event,202
330,Who won the gold medal in the Two-man at the IBSF World Championships 2 years before 2019?,Francesco Friedrich Thorsten Margis,sports event,203
331,How many years before the Königssee bobsleigh Two-man at the IBSF World Championships was a similar contest held?,1,sports event,203
332,How many years ago was the last IBSF World Championships?,1,sports event,203
333,How many more years until the next IBSF World Championships?,2,sports event,203
334,"What country won a silver medal on February 19, 2017, in the Two-man at the IBSF World Championships?",Canada,sports event,203
335,"How many years after the Königssee, Germany, IBSF World Championship did another contest take place?",2,sports event,203
336,What days did the Women's KL3 at the 2018 ICF Canoe Sprint World Championships take place?,August 22 and August 23,sports event,204
337,Who was the silver medalist in the 2018 Canoe Sprint World Championships?,Amanda Reynolds,sports event,204
338,How many Swedish medal winners were there in the 2018 ICF Canoe Sprint World Championships?,1,sports event,204
339,How many countries were represented on the medal stand at the 2003 IBF World Championships for Women's Singles?,2,sports event,205
340,"What type of medal did Gong Ruina win on August 3, 2003?",Silver,sports event,205
341,How often are the IBF World Championships held?,Every 2 years,sports event,205
342,How many days after the 2022 celebration ended did the 2023 celebration begin?,354,holiday,206
343,"Between 2021 and 2024, which year does Purim occur the earliest in the year?",2021,holiday,206
344,"Between 2021 and 2024, which year does Purim occur the latest in the year?",2024,holiday,206
345,"After 2024, what year after will the next celebration of Purim occur?",2025,holiday,206
346,In which months does Purim occur?,"February, March",holiday,206
347,How many hours does Purim last?,24,holiday,206
